               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11135,            0.071433,             0.04024,                   0,                   0,                   0,                   0,             0.10293,            0.048193,            0.037314,              0.0982,              0.0002,              0.0002
                   1,             0.10986,            0.071188,            0.040205,                   0,                   0,                   0,                   0,             0.10273,            0.048253,             0.03729,            0.095498,          0.00049835,          0.00049835
                   2,              0.1092,            0.077457,            0.039563,                   0,                   0,                   0,                   0,             0.10247,            0.048332,            0.037257,            0.092795,          0.00079472,          0.00079472
                   3,             0.10871,            0.068887,            0.039124,                   0,                   0,                   0,                   0,             0.10216,            0.048522,            0.037219,            0.090089,           0.0010891,           0.0010891
                   4,             0.10896,            0.069059,            0.039569,                   0,                   0,                   0,                   0,             0.10187,            0.048606,            0.037184,            0.087382,           0.0013815,           0.0013815
                   5,             0.10844,            0.073728,            0.039373,                   0,                   0,                   0,                   0,             0.10167,            0.048518,            0.037159,            0.084672,            0.001672,            0.001672
                   6,             0.10716,            0.074582,            0.038959,                   0,                   0,                   0,                   0,             0.10147,            0.048746,            0.037138,             0.08196,           0.0019604,           0.0019604
                   7,             0.10777,            0.070229,            0.038905,                   0,                   0,                   0,                   0,             0.10135,            0.048939,            0.037125,            0.079247,           0.0022469,           0.0022469
                   8,             0.10652,            0.072373,            0.038785,                   0,                   0,                   0,                   0,             0.10113,            0.048912,            0.037103,            0.076531,           0.0025314,           0.0025314
                   9,             0.10667,            0.065261,             0.03882,                   0,                   0,                   0,                   0,             0.10102,            0.049075,            0.037091,            0.073814,           0.0028139,           0.0028139
                  10,             0.10632,            0.065033,            0.038599,                   0,                   0,                   0,                   0,             0.10081,            0.048907,            0.037068,            0.071094,           0.0030944,           0.0030944
                  11,             0.10492,            0.068149,            0.038111,                   0,                   0,                   0,                   0,             0.10069,            0.048956,            0.037055,            0.068373,           0.0033729,           0.0033729
                  12,             0.10542,            0.075432,            0.038236,                   0,                   0,                   0,                   0,             0.10046,            0.049094,            0.037031,             0.06565,           0.0036495,           0.0036495
                  13,             0.10649,             0.06564,            0.038986,                   0,                   0,                   0,                   0,             0.10034,             0.04922,            0.037019,            0.062924,           0.0039241,           0.0039241
                  14,             0.10477,            0.077028,            0.038066,                   0,                   0,                   0,                   0,              0.1001,            0.049288,            0.036995,            0.060197,           0.0041967,           0.0041967
                  15,             0.10536,            0.063486,            0.038212,                   0,                   0,                   0,                   0,            0.099986,            0.049272,            0.036983,            0.057467,           0.0044673,           0.0044673
                  16,             0.10461,            0.070817,            0.038149,                   0,                   0,                   0,                   0,             0.09975,            0.049467,            0.036961,            0.054736,            0.004736,            0.004736
                  17,             0.10311,            0.072585,            0.037588,                   0,                   0,                   0,                   0,            0.099617,             0.04959,            0.036951,            0.052003,           0.0050027,           0.0050027
                  18,             0.10471,            0.081895,            0.037732,                   0,                   0,                   0,                   0,            0.099489,            0.049498,            0.036942,            0.049267,           0.0052674,           0.0052674
                  19,             0.10285,            0.075963,            0.037611,                   0,                   0,                   0,                   0,            0.099341,            0.049603,            0.036931,             0.04653,           0.0055301,           0.0055301
                  20,             0.10265,            0.087802,            0.037287,                   0,                   0,                   0,                   0,            0.099186,            0.049672,            0.036921,            0.043791,           0.0057908,           0.0057908
                  21,             0.10357,             0.07672,            0.037494,                   0,                   0,                   0,                   0,            0.099039,            0.049626,            0.036911,             0.04105,           0.0060495,           0.0060495
                  22,             0.10452,            0.068801,            0.037088,                   0,                   0,                   0,                   0,            0.098908,            0.049768,            0.036904,            0.038306,           0.0063063,           0.0063063
                  23,             0.10196,            0.070761,            0.036833,                   0,                   0,                   0,                   0,            0.098765,            0.049682,              0.0369,            0.035561,           0.0065611,           0.0065611
                  24,             0.10098,            0.080173,            0.036813,                   0,                   0,                   0,                   0,            0.098608,            0.049971,            0.036886,            0.032814,           0.0068139,           0.0068139
                  25,             0.10056,            0.076286,            0.036713,                   0,                   0,                   0,                   0,            0.098443,            0.049938,            0.036869,            0.030065,           0.0070648,           0.0070648
                  26,             0.10132,            0.080486,            0.036554,                   0,                   0,                   0,                   0,             0.09827,            0.050114,            0.036848,            0.027314,           0.0073136,           0.0073136
                  27,             0.10072,            0.074947,            0.036364,           0.0009311,            0.095238,          0.00064314,          6.4314e-05,            0.098083,            0.050032,            0.036824,             0.02456,           0.0075605,           0.0075605
                  28,             0.10148,            0.069904,            0.035936,           0.0009311,            0.095238,          0.00064314,          6.4314e-05,            0.098083,            0.050006,            0.036824,            0.021805,           0.0078054,           0.0078054
                  29,             0.10015,            0.067321,            0.036013,           0.0011623,             0.11905,          0.00083188,          9.5823e-05,            0.097931,            0.049847,             0.03681,            0.019048,           0.0080483,           0.0080483
                  30,             0.10022,            0.081555,            0.035818,           0.0013889,             0.14286,           0.0010022,          0.00021718,             0.09781,            0.050034,            0.036788,            0.016289,           0.0082892,           0.0082892
                  31,            0.099791,            0.072535,            0.035736,           0.0013989,             0.16667,           0.0010706,          0.00022376,            0.097668,             0.05012,            0.036768,            0.013528,           0.0085281,           0.0085281
                  32,             0.10047,            0.081458,            0.035682,           0.0013989,             0.16667,           0.0010706,          0.00022376,            0.097668,            0.050043,            0.036768,            0.010765,           0.0087651,           0.0087651
                  33,            0.099043,              0.0643,            0.035286,           0.0013989,             0.16667,           0.0010799,          0.00021022,            0.097523,            0.050111,            0.036748,            0.008911,            0.008911,            0.008911
                  34,            0.098235,            0.077072,            0.035811,           0.0013006,             0.16667,           0.0010249,          0.00018817,            0.097364,            0.049995,            0.036723,            0.008911,            0.008911,            0.008911
                  35,            0.098892,            0.068841,            0.035109,           0.0014864,             0.19048,           0.0012374,          0.00019604,            0.097141,            0.049818,            0.036686,            0.008878,            0.008878,            0.008878
                  36,            0.097491,            0.067021,            0.035272,           0.0014864,             0.19048,           0.0012374,          0.00019604,            0.097141,            0.049817,            0.036686,            0.008845,            0.008845,            0.008845
                  37,            0.098922,            0.078815,            0.034853,           0.0013243,             0.16667,            0.001048,          0.00019165,            0.096915,            0.049937,             0.03665,            0.008812,            0.008812,            0.008812
                  38,            0.098834,            0.073968,             0.03496,           0.0013621,             0.16667,           0.0016781,          0.00033159,            0.096695,            0.049919,            0.036547,            0.008779,            0.008779,            0.008779
                  39,            0.097442,            0.079245,            0.035117,           0.0015901,             0.19048,           0.0029013,          0.00072858,            0.096225,            0.050101,            0.036405,            0.008746,            0.008746,            0.008746
                  40,            0.097213,            0.075204,            0.034424,           0.0015901,             0.19048,           0.0029013,          0.00072858,            0.096225,            0.050114,            0.036405,            0.008713,            0.008713,            0.008713
                  41,            0.097544,            0.078066,            0.034004,           0.0045711,             0.24603,            0.013325,           0.0053117,            0.096044,            0.049732,            0.036314,             0.00868,             0.00868,             0.00868
                  42,            0.097721,            0.075018,             0.03469,           0.0032342,             0.22222,           0.0045901,           0.0022084,            0.096423,            0.049038,            0.036012,            0.008647,            0.008647,            0.008647
                  43,             0.09661,            0.080371,            0.034036,           0.0065833,             0.29532,            0.015624,           0.0032597,            0.096718,            0.048215,            0.035684,            0.008614,            0.008614,            0.008614
                  44,            0.096627,            0.073135,            0.033404,           0.0065833,             0.29532,            0.015624,           0.0032597,            0.096718,            0.047991,            0.035684,            0.008581,            0.008581,            0.008581
                  45,            0.097293,            0.075726,            0.034047,            0.010377,             0.36842,            0.012768,            0.002812,            0.097347,            0.047411,            0.035549,            0.008548,            0.008548,            0.008548
                  46,            0.096174,            0.073209,            0.033356,           0.0064141,             0.27151,            0.011449,           0.0024756,            0.097001,            0.047455,            0.035262,            0.008515,            0.008515,            0.008515
                  47,            0.097764,            0.076505,            0.033021,           0.0030965,             0.25397,           0.0055729,           0.0015282,             0.09715,            0.047368,            0.035233,            0.008482,            0.008482,            0.008482
                  48,             0.09567,            0.080279,            0.032535,           0.0030965,             0.25397,           0.0055729,           0.0015282,             0.09715,             0.04719,            0.035233,            0.008449,            0.008449,            0.008449
                  49,             0.09581,            0.076745,            0.031949,           0.0078335,             0.22389,           0.0094869,           0.0033958,            0.096947,            0.047095,            0.035049,            0.008416,            0.008416,            0.008416
